name,email,password,role,zipcode,address,addressDetail
봉사자00001,user00001@test.com,test1234,VOLUNTEER,34126,대전광역시 유성구 압구정 83,9층 959호
관리자00002,user00002@test.com,test1234,ADMIN,06234,서울특별시 강남구 테헤란 123,12층 200호
봉사자00003,user00003@test.com,test1234,VOLUNTEER,42061,대구광역시 수성구 강남대 65,19층 841호
봉사자00004,user00004@test.com,test1234,VOLUNTEER,06234,서울특별시 강남구 개포 161,10층 595호
봉사자00005,user00005@test.com,test1234,VOLUNTEER,16444,경기도 수원시 학동 124,7층 317호
봉사자00006,user00006@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 반포대 44,20층 218호
보호소00007,user00007@test.com,test1234,SHELTER_OWNER,06234,서울특별시 강남구 백제고분 42,3층 385호
봉사자00008,user00008@test.com,test1234,VOLUNTEER,16827,경기도 용인시 서초중앙 120,4층 165호
봉사자00009,user00009@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 영동대 116,8층 187호
봉사자00010,user00010@test.com,test1234,VOLUNTEER,06234,서울특별시 강남구 서초중앙 33,3층 310호
봉사자00011,user00011@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 도산대 173,17층 401호
봉사자00012,user00012@test.com,test1234,VOLUNTEER,42061,대구광역시 수성구 논현 89,8층 395호
봉사자00013,user00013@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 영동대 113,4층 913호
봉사자00014,user00014@test.com,test1234,VOLUNTEER,06590,서울특별시 서초구 백제고분 16,13층 633호
보호소00015,user00015@test.com,test1234,SHELTER_OWNER,06234,서울특별시 강남구 백제고분 189,3층 147호
보호소00016,user00016@test.com,test1234,SHELTER_OWNER,61937,광주광역시 서구 석촌호수 5,16층 569호
봉사자00017,user00017@test.com,test1234,VOLUNTEER,21990,인천광역시 연수구 도산대 86,11층 529호
봉사자00018,user00018@test.com,test1234,VOLUNTEER,16827,경기도 용인시 학동 91,6층 486호
보호소00019,user00019@test.com,test1234,SHELTER_OWNER,42061,대구광역시 수성구 논현 36,9층 617호
봉사자00020,user00020@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 논현 35,17층 449호
보호소00021,user00021@test.com,test1234,SHELTER_OWNER,13487,경기도 성남시 봉은사 45,6층 535호
보호소00022,user00022@test.com,test1234,SHELTER_OWNER,21556,인천광역시 남동구 언주 96,2층 784호
봉사자00023,user00023@test.com,test1234,VOLUNTEER,05288,서울특별시 강동구 강남대 193,9층 887호
보호소00024,user00024@test.com,test1234,SHELTER_OWNER,21990,인천광역시 연수구 잠실 167,11층 461호
보호소00025,user00025@test.com,test1234,SHELTER_OWNER,05288,서울특별시 강동구 논현 164,7층 222호
봉사자00026,user00026@test.com,test1234,VOLUNTEER,16827,경기도 용인시 선릉 45,2층 756호
봉사자00027,user00027@test.com,test1234,VOLUNTEER,13487,경기도 성남시 테헤란 123,18층 515호
봉사자00028,user00028@test.com,test1234,VOLUNTEER,21556,인천광역시 남동구 오금 140,15층 708호
봉사자00029,user00029@test.com,test1234,VOLUNTEER,05288,서울특별시 강동구 양재천 9,20층 639호
봉사자00030,user00030@test.com,test1234,VOLUNTEER,16444,경기도 수원시 양재천 67,11층 720호
관리자00031,user00031@test.com,test1234,ADMIN,48094,부산광역시 해운대구 삼성 114,17층 977호
봉사자00032,user00032@test.com,test1234,VOLUNTEER,05288,서울특별시 강동구 양재천 8,18층 971호
봉사자00033,user00033@test.com,test1234,VOLUNTEER,42061,대구광역시 수성구 도산대 12,18층 555호
봉사자00034,user00034@test.com,test1234,VOLUNTEER,16827,경기도 용인시 언주 48,18층 505호
보호소00035,user00035@test.com,test1234,SHELTER_OWNER,05855,서울특별시 송파구 삼성 40,10층 321호
봉사자00036,user00036@test.com,test1234,VOLUNTEER,16827,경기도 용인시 강남대 10,8층 611호
봉사자00037,user00037@test.com,test1234,VOLUNTEER,06590,서울특별시 서초구 반포대 7,1층 302호
관리자00038,user00038@test.com,test1234,ADMIN,10401,경기도 고양시 언주 29,20층 685호
봉사자00039,user00039@test.com,test1234,VOLUNTEER,34126,대전광역시 유성구 역삼 195,12층 896호
봉사자00040,user00040@test.com,test1234,VOLUNTEER,16444,경기도 수원시 양재천 9,11층 600호
봉사자00041,user00041@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 개포 96,13층 548호
봉사자00042,user00042@test.com,test1234,VOLUNTEER,10401,경기도 고양시 오금 91,17층 279호
보호소00043,user00043@test.com,test1234,SHELTER_OWNER,21556,인천광역시 남동구 백제고분 13,8층 380호
봉사자00044,user00044@test.com,test1234,VOLUNTEER,10401,경기도 고양시 개포 35,3층 903호
봉사자00045,user00045@test.com,test1234,VOLUNTEER,06590,서울특별시 서초구 강남대 139,1층 154호
보호소00046,user00046@test.com,test1234,SHELTER_OWNER,42061,대구광역시 수성구 석촌호수 61,10층 390호
봉사자00047,user00047@test.com,test1234,VOLUNTEER,16827,경기도 용인시 오금 102,7층 149호
봉사자00048,user00048@test.com,test1234,VOLUNTEER,16444,경기도 수원시 개포 180,7층 301호
봉사자00049,user00049@test.com,test1234,VOLUNTEER,06234,서울특별시 강남구 도산대 155,18층 557호
봉사자00050,user00050@test.com,test1234,VOLUNTEER,10401,경기도 고양시 도산대 78,11층 942호
봉사자00051,user00051@test.com,test1234,VOLUNTEER,06234,서울특별시 강남구 잠실 60,20층 966호
보호소00052,user00052@test.com,test1234,SHELTER_OWNER,06590,서울특별시 서초구 역삼 65,8층 559호
봉사자00053,user00053@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 언주 56,3층 426호
보호소00054,user00054@test.com,test1234,SHELTER_OWNER,21556,인천광역시 남동구 백제고분 115,14층 139호
봉사자00055,user00055@test.com,test1234,VOLUNTEER,16444,경기도 수원시 개포 62,2층 738호
봉사자00056,user00056@test.com,test1234,VOLUNTEER,21556,인천광역시 남동구 반포대 59,10층 706호
봉사자00057,user00057@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 가락 121,20층 327호
봉사자00058,user00058@test.com,test1234,VOLUNTEER,13487,경기도 성남시 봉은사 113,9층 263호
관리자00059,user00059@test.com,test1234,ADMIN,06590,서울특별시 서초구 학동 96,16층 255호
보호소00060,user00060@test.com,test1234,SHELTER_OWNER,34126,대전광역시 유성구 서초대 150,2층 781호
봉사자00061,user00061@test.com,test1234,VOLUNTEER,42061,대구광역시 수성구 강남대 126,5층 315호
봉사자00062,user00062@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 선릉 12,17층 902호
봉사자00063,user00063@test.com,test1234,VOLUNTEER,61937,광주광역시 서구 석촌호수 13,18층 826호
봉사자00064,user00064@test.com,test1234,VOLUNTEER,48094,부산광역시 해운대구 양재천 179,4층 230호
봉사자00065,user00065@test.com,test1234,VOLUNTEER,06590,서울특별시 서초구 서초중앙 189,13층 664호
봉사자00066,user00066@test.com,test1234,VOLUNTEER,21990,인천광역시 연수구 잠실 134,8층 103호
봉사자00067,user00067@test.com,test1234,VOLUNTEER,13487,경기도 성남시 봉은사 111,16층 384호
봉사자00068,user00068@test.com,test1234,VOLUNTEER,16827,경기도 용인시 석촌호수 61,14층 690호
봉사자00069,user00069@test.com,test1234,VOLUNTEER,21990,인천광역시 연수구 삼성 136,9층 749호
봉사자00070,user00070@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 영동대 65,17층 152호
보호소00071,user00071@test.com,test1234,SHELTER_OWNER,16827,경기도 용인시 학동 179,7층 623호
봉사자00072,user00072@test.com,test1234,VOLUNTEER,05855,서울특별시 송파구 가락 83,16층 901호
보호소00073,user00073@test.com,test1234,SHELTER_OWNER,13487,경기도 성남시 가락 138,2층 996호
봉사자00074,user00074@test.com,test1234,VOLUNTEER,34126,대전광역시 유성구 오금 98,7층 373호
봉사자00075,user00075@test.com,test1234,VOLUNTEER,21556,인천광역시 남동구 잠실 54,5층 503호
봉사자00076,user00076@test.com,test1234,VOLUNTEER,16827,경기도 용인시 서초중앙 12,5층 898호
봉사자00077,user00077@test.com,test1234,VOLUNTEER,06234,서울특별시 강남구 오금 56,15층 118호
보호소00078,user00078@test.com,test1234,SHELTER_OWNER,10401,경기도 고양시 백제고분 125,9층 936호
